dataset_index,full_name,pdes,neo,a,e,i,q,om,w,moid,diameter,E_M_useful_kg,sigma_M_kg,value_usd,comp_class,value_per_kg,total_mass_kg,dv_out_kms,cargo_LLO_kg,dry_mass_kg,prop_mass_kg,tof_out_days,loiter_days,tof_ret_days,mission_time_days,mission_cost_usd,revenue_LLO_usd,net_cost_usd,direct_cost_usd,feasible,verdict,profit_usd,direct_minus_mining_usd,total_time_years
6143,  6144 Kondojiro (1994 EQ3),6144,N,4.761392046272173,0.3615451544707015,5.88349032103415,3.039933823407131,117.1009217723604,96.4169674006212,2.04184,32.492,9125211936014398.0,912521193601440.0,0.9999,C,0.9999,2.3887989361294236e+16,9.762058571977391,51004.244298382706,55000.0,1543109.7812428304,1310.1694915254238,297.1525423728813,619.4745762711864,2226.7966101694915,1603430748.077329,50999.14387395287,1603379748.933455,273454047.6551699,True,direct_cheaper_than_mining,-1603379748.933455,-1329925701.278285,6.096636851935637
338209,338210 (2002 SF34),338210,N,2.201472537201299,0.1599071045957219,7.696526035407928,1.849441437930442,3.491107192390192,29.8332568512678,0.858199,2.028,2218796530836.387,221879653083.63873,0.9999,C,0.9999,5808367881770.646,4.671384402104979,102753.82177580084,55000.0,611846.3835999157,388.135593220339,1188.6101694915253,248.38983050847457,1825.1355932203387,671973647.6477044,102743.54639362326,671870904.1013107,404509022.20084167,True,direct_cheaper_than_mining,-671870904.1013107,-267361881.90046906,4.996948920521119
267713,267714 (2003 BS19),267714,N,3.98712950556366,0.2078371527240982,14.15246061450157,3.158455861585067,347.7309462878852,144.162068363194,2.18596,5.805,52037964249835.32,5203796424983.532,0.9999,C,0.9999,136225037303233.83,9.536037414623939,56779.37280080396,55000.0,1421644.291447149,964.406779661017,99.05084745762711,743.1694915254237,1806.6271186440677,1481939993.4597697,56773.69486352388,1481883219.7649062,288079467.9151337,True,direct_cheaper_than_mining,-1481883219.7649062,-1193803751.8497725,4.9462754788338605
193682,193683 (2001 EO14),193683,N,2.5588482336118,0.2090193539287416,13.2195065531266,2.02399942902056,108.0644875771687,346.5920077740739,1.04306,4.374,22261271291450.95,2226127129145.095,0.9999,C,0.9999,58275579296992.016,8.749148673859919,85678.62090197277,55000.0,938022.6686509444,532.2033898305085,49.52542372881356,495.77966101694915,1077.508474576271,998217777.3660238,85670.05303988256,998132107.3129839,361266349.99045944,True,direct_cheaper_than_mining,-998132107.3129839,-636865757.3225244,2.9500574252601535
78973, 78974 (2003 SF307),78974,N,3.181850247508328,0.2704869124523177,17.22893462875641,2.321201398174157,268.3475806274973,168.5320763459958,1.33912,8.785,180359458892629.38,18035945889262.938,0.9999,C,0.9999,472145180347197.2,9.942643103806072,55484.83715450697,55000.0,1370105.3914728265,791.5254237288136,49.52542372881356,619.4745762711864,1460.5254237288136,1430390373.3942528,55479.28867079152,1430334894.105582,284801077.16406053,True,direct_cheaper_than_mining,-1430334894.105582,-1145533816.9415214,3.998700680982378
62113, 62114 (2000 RV99),62114,N,5.191166927882973,0.1794399666937375,16.13108330072543,4.25966410724202,278.5555478453975,64.8019967808789,3.29067,20.182,2186785732457161.2,218678573245716.12,0.9999,C,0.9999,5724569980254349.0,9.85754893539374,46753.793596009826,55000.0,1739164.0821390054,849.1525423728814,49.52542372881356,1299.7966101694915,2198.4745762711864,1799525828.2680902,46749.118216650226,1799479079.1498735,262689849.45760614,True,direct_cheaper_than_mining,-1799479079.1498735,-1536789229.6922674,6.0190953491339805
333,   334 Chicago (1892 L),334,N,3.890299288301297,0.023501839785946,4.64311196020263,3.79887009770826,130.1632277567021,148.7710594999281,2.78295,198.770,2.089133240978747e+18,2.089133240978747e+17,0.9999,C,0.9999,5.468935185808238e+18,8.004498265476796,52789.4573321378,55000.0,1295647.1229433245,589.8305084745763,0.0,866.8644067796611,1456.6949152542375,1355916617.5448968,52784.17838640459,1355863833.3665104,277975071.0161716,True,direct_cheaper_than_mining,-1355863833.3665104,-1077888762.350339,3.9882133203401438
488612,488613 (2002 RC263),488613,N,3.943558929684114,0.3079711821803831,3.69661469761185,2.729056424111291,261.8675777489262,93.47670063019964,1.72702,3.372,10199439919179.63,1019943991917.9633,0.9999,C,0.9999,26700104500470.24,8.037259498362513,68850.24391248736,55000.0,1112161.219758878,877.9661016949153,99.05084745762711,495.77966101694915,1472.7966101694915,1172392549.2925878,68843.35888809612,1172323705.9336996,318648755.3064379,True,direct_cheaper_than_mining,-1172323705.9336996,-853674950.6272616,4.032297358438033
245092,245093 (2004 PC24),245093,N,3.961926490108049,0.207926158594019,10.29707978868405,3.138138334387998,308.4143471890484,323.7576047451059,2.12921,8.232,148398568442770.28,14839856844277.03,0.9999,C,0.9999,388477927860655.2,8.667837817990147,63236.20144502769,55000.0,1218214.9451435504,1050.8474576271187,99.05084745762711,681.3220338983051,1831.2203389830509,1278468333.8521402,63229.87782488319,1278405103.9743154,304431282.8450964,True,direct_cheaper_than_mining,-1278405103.9743154,-973973821.129219,5.013608046497059
211204,211205 (2002 OD19),211205,N,2.627582860016451,0.0482149653892655,26.8843647637674,2.500894043363331,275.1158754792083,157.2259784685675,1.52417,4.646,26677875568902.523,2667787556890.2524,0.9999,C,0.9999,69837370599221.266,6.669029166153074,48140.3937422515,55000.0,1956657.1608328603,388.135593220339,2327.694915254237,372.08474576271186,3087.915254237288,2017064145.5223134,48135.57970287728,2017016009.9426105,266201392.07744732,True,direct_cheaper_than_mining,-2017016009.9426105,-1750814617.865163,8.454251209410781
