dataset_index,full_name,pdes,neo,a,e,i,moid,diameter,E_M_useful_kg,sigma_M_kg,value_usd,comp_class,value_per_kg,total_mass_kg,dv_out_kms,cargo_LLO_kg,dry_mass_kg,prop_mass_kg,tof_out_days,loiter_days,tof_ret_days,mission_time_days,mission_cost_usd,revenue_LLO_usd,net_cost_usd,direct_cost_usd,feasible,verdict,profit_usd,direct_minus_mining_usd,total_time_years
600114,       (2010 CK229),2010 CK229,N,2.157458066647194,0.2913843509873826,14.00654355422641,0.611311,2.659,5001135693100.322,500113569310.0322,0.9999,C,0.9999,13091978254189.324,6.216434755765355,366134.37630849436,55000.0,742729.8161918034,301.6949152542373,0.0,433.93220338983053,735.6271186440679,802884303.9935714,366097.76287086355,802518206.2307005,1071516050.1358876,True,mining_cheaper_than_direct,-802518206.2307005,268997843.90518713,2.0140372858153808
604446,       (2010 HY65),2010 HY65,N,2.578320902146184,0.1490676416156427,22.91867111593324,1.22056,3.722,13716481831503.19,1371648183150.319,0.9999,C,0.9999,35907020501317.25,7.425545273754954,341185.70178344124,55000.0,1181829.7785829394,503.3898305084746,0.0,619.4745762711864,1122.8644067796608,1242075599.1768847,341151.5832132629,1241734447.5936713,1008333932.247952,True,direct_cheaper_than_mining,-1241734447.5936713,-233400515.34571934,3.0742351999443143
214373,214374 (2005 LS9),214374,N,2.632075829646352,0.0938322279788179,12.77787830716847,1.40428,3.373,10208516845303.404,1020851684530.3405,0.9999,C,0.9999,26723866087181.688,5.963969678139738,343053.7456796175,55000.0,932252.5904564656,445.7627118644068,693.3559322033898,557.6271186440678,1696.7457627118642,992446498.9952805,343019.44030504953,992103479.5549755,1013064723.4388639,True,mining_cheaper_than_direct,-992103479.5549755,20961243.883888364,4.645436722003735
249245,249246 (2008 RS4),249246,N,3.983156311532116,0.1224821917006886,1.710168831716411,2.51164,5.026,33773889563716.22,3377388956371.622,0.9999,C,0.9999,88413323465225.7,7.546283910168456,348251.506584342,55000.0,1323406.5649915326,532.2033898305085,1436.2372881355932,743.1694915254237,2711.6101694915255,1383681833.5570507,348216.68143368355,1383333616.875617,1026227969.5225716,True,direct_cheaper_than_mining,-1383333616.875617,-357105647.35304546,7.423984036937783
603287,       (2010 GD76),2010 GD76,N,3.144865194997994,0.3128779707714896,14.3008463108526,1.20038,3.806,14666280202908.832,1466628020290.8833,0.9999,C,0.9999,38393403672536.21,6.233115372208378,345395.69086714665,55000.0,1201269.1398484118,618.6440677966102,643.8305084745763,805.0169491525423,2067.4915254237285,1261519003.8295002,345361.15129805997,1261173642.6782022,1018995662.0455207,True,direct_cheaper_than_mining,-1261173642.6782022,-242177980.6326815,5.660483300270304
15608, 15609 Kosmaczewski (2000 GP124),15609,N,2.270821078220154,0.2895434509305886,6.729755546917488,0.598697,4.114,18522793636983.645,1852279363698.3645,0.9999,C,0.9999,48488988578491.22,8.21434792489127,374338.161039943,55000.0,609085.5199119418,561.0169491525423,1188.6101694915253,433.93220338983053,2183.5593220338983,669212209.7000836,374300.727223839,668837908.9728597,1092292003.3236663,True,mining_cheaper_than_direct,-668837908.9728597,423454094.3508066,5.978259608580146
138866,138867 (2000 XD5),138867,N,3.430557014101298,0.1035627791599381,14.13602954648668,2.08329,9.093,200002396446904.53,20000239644690.453,0.9999,C,0.9999,523566482845299.8,7.584660661659784,343044.62049414933,55000.0,1415863.7445624715,532.2033898305085,1139.084745762712,681.3220338983051,2352.6101694915255,1476158244.2213407,343010.31603209995,1475815233.9053085,1013041614.0530957,True,direct_cheaper_than_mining,-1475815233.9053085,-462773619.8522128,6.4410956043573595
260463,260464 (2005 AD78),260464,N,4.011873223554378,0.2696429903635738,3.088016435847255,1.93858,5.942,55809941667438.086,5580994166743.809,0.9999,C,0.9999,146099323736748.9,9.254111372654936,351695.3405436617,55000.0,1064446.7313521723,762.7118644067797,0.0,1052.406779661017,1815.1186440677966,1124668136.2722936,351660.1710096073,1124316476.101284,1034949423.7619824,True,direct_cheaper_than_mining,-1124316476.101284,-89367052.33930159,4.969524008399169
600256,       (2010 CJ243),2010 CJ243,N,5.136148522612448,0.116897134662615,27.0987469274254,3.60056,12.131,474901383048875.2,47490138304887.52,0.9999,C,0.9999,1243197337824280.5,9.781940209832529,316095.8848516586,55000.0,2578398.9806743064,1194.915254237288,0.0,990.5593220338983,2185.4745762711864,2638935287.6622868,316064.27526317345,2638619223.3870234,944794373.4798601,True,direct_cheaper_than_mining,-2638619223.3870234,-1693824849.9071634,5.983503288901264
102151,102152 (1999 RL201),102152,N,3.177472573865221,0.321518261806144,18.52374591320972,1.18561,8.205,146943162463997.28,14694316246399.729,0.9999,C,0.9999,384667964565437.94,5.732679977506459,346835.19192717,55000.0,1424972.1134432228,474.5762711864407,2773.423728813559,990.5593220338983,4238.559322033898,1485268507.642819,346800.50840797724,1484921707.1344109,1022641175.3806224,True,direct_cheaper_than_mining,-1484921707.1344109,-462280531.7537885,11.604542976136614
249658,249659 (1999 VD14),249659,N,2.36582805739125,0.2553676139177869,24.73511280225772,0.766961,2.557,4447396093598.571,444739609359.8572,0.9999,C,0.9999,11642398150781.6,7.594759896333235,340547.4452956555,55000.0,1414352.7881995537,388.135593220339,1386.7118644067796,372.08474576271186,2146.93220338983,1474646973.5794992,340513.390551126,1474306460.1889482,1006717557.9346184,True,direct_cheaper_than_mining,-1474306460.1889482,-467588902.2543298,5.877980022970103
5143,  5144 Achates (1991 XX),5144,N,5.196490869104852,0.272967633848167,8.912930839989421,2.76504,80.958,1.4115391835409792e+17,1.4115391835409792e+16,0.9999,C,0.9999,3.6951287527250765e+17,10.553059838992516,342030.33115275606,55000.0,1662981.0411937295,1310.1694915254238,148.57627118644066,1114.2542372881355,2573.0,1723326941.2502978,341996.1281196408,1722984945.122178,1010472942.5721306,True,direct_cheaper_than_mining,-1722984945.122178,-712512002.5500475,7.044490075290897
593581,       (2009 SA339),2009 SA339,N,2.665864836184645,0.3380865802570289,7.896304046668059,0.771625,1.367,679546484211.5177,67954648421.15177,0.9999,C,0.9999,1778917497935.9102,8.116692667931371,366942.5913392134,55000.0,664637.6242534808,359.3220338983051,0.0,743.1694915254237,1102.491525423729,724775868.8793255,366905.89708007954,724408962.9822454,1073562841.7319065,True,mining_cheaper_than_direct,-724408962.9822454,349153878.7496611,3.0184572906878273
92178, 92179 (1999 XC200),92179,N,3.223802706068478,0.0472265623199168,20.31933956318705,2.11142,11.413,395469575745281.75,39546957574528.18,0.9999,C,0.9999,1035260669490266.4,7.873712397861996,328218.6011163307,55000.0,1641174.902294404,445.7627118644068,49.52542372881356,557.6271186440678,1052.915254237288,1701516266.6740813,328185.7792562191,1701188080.8948252,975494957.8891584,True,direct_cheaper_than_mining,-1701188080.8948252,-725693123.0056669,2.8827248575969557
423857,423858 (2006 QY162),423858,N,3.054637219741992,0.2007638824863998,25.24581462998065,1.55442,4.712,27831042308386.004,2783104230838.6006,0.9999,C,0.9999,72856131697345.56,8.214178952660134,337650.0243400017,55000.0,2421305.150933972,849.1525423728814,1981.0169491525423,495.77966101694915,3325.9491525423728,2481808782.405366,337616.25933756767,2481471166.1460285,999379885.8588027,True,direct_cheaper_than_mining,-2481471166.1460285,-1482091280.2872257,9.10595250524948
19751, 19752 (2000 CH67),19752,N,3.990106946777753,0.1525389917401526,23.9213952103783,2.43889,23.358,3390163068597004.5,339016306859700.5,0.9999,C,0.9999,8874772430882210.0,8.51830965641664,325385.8441460139,55000.0,1827475.5973762532,964.406779661017,0.0,866.8644067796611,1831.271186440678,1887855712.3005073,325353.3055615993,1887530358.9949458,968321046.3185579,True,direct_cheaper_than_mining,-1887530358.9949458,-919209312.6763879,5.013747259248947
23151, 23152 (2000 CS8),23152,N,5.216925907027604,0.1504079198240472,11.4288499152356,3.46641,19.483,1967347681218322.0,196734768121832.25,0.9999,C,0.9999,5150124819943251.0,9.408647601622464,335069.2682734026,55000.0,1680693.690558188,1079.6610169491526,0.0,1114.2542372881355,2193.915254237288,1741043274.845824,335035.7613465752,1740708239.0844774,992844162.5330553,True,direct_cheaper_than_mining,-1740708239.0844774,-747864076.5514221,6.006612605714683
325761,325762 (2010 AL94),325762,N,3.449257916115868,0.1036869577002832,12.97998180491251,2.11944,6.281,65917390496054.96,6591739049605.496,0.9999,C,0.9999,172558613864018.22,8.941384150433096,344939.2437334848,55000.0,1482486.3889234127,532.2033898305085,1337.186440677966,495.77966101694915,2365.169491525424,1542794746.0923085,344904.74980911147,1542449841.3424995,1017839717.0040447,True,direct_cheaper_than_mining,-1542449841.3424995,-524610124.33845484,6.475481154073713
10609, 10610 (1996 XR1),10610,N,3.957515704024375,0.2185450607021975,4.633304048535146,2.09637,23.207,3324839098137028.5,332483909813702.9,0.9999,C,0.9999,8703767272610022.0,8.039173160532101,344162.4625144469,55000.0,1269222.5205947151,561.0169491525423,0.0,928.7118644067797,1489.7288135593221,1329486518.8789988,344128.04626819544,1329142390.8327305,1015872531.0316954,True,direct_cheaper_than_mining,-1329142390.8327305,-313269859.80103517,4.078655204816761
2593,  2594 Acamas (1978 TB),2594,N,5.05937294998759,0.0854165589857044,5.535424166660904,3.61619,25.874,4607913815496607.0,460791381549660.75,0.9999,C,0.9999,1.2062601611247662e+16,8.955505249414571,336530.14714281796,55000.0,1864686.6455799474,820.3389830508474,0.0,990.5593220338983,1810.8983050847457,1925074500.402228,336496.49412810366,1924738003.9081001,996543814.827397,True,direct_cheaper_than_mining,-1924738003.9081001,-928194189.0807031,4.957969349992459
66718, 66719 (1999 TG105),66719,N,2.541487898284794,0.1004723626437817,19.49299475135484,1.2835,10.093,273510778679891.5,27351077867989.152,0.9999,C,0.9999,715996802826941.1,5.945381118988473,341996.0475668261,55000.0,1639224.45525312,532.2033898305085,742.8813559322034,372.08474576271186,1647.1694915254238,1699565413.9398127,341961.84796206944,1699223452.0918505,1010386119.9409053,True,direct_cheaper_than_mining,-1699223452.0918505,-688837332.1509452,4.5097042889128645
131450,131451 (2001 QD174),131451,N,5.096035513261152,0.0764104885957137,27.25681817643693,3.71513,21.208,2537539260731021.5,253753926073102.16,0.9999,C,0.9999,6642772933850841.0,8.990102595666322,319630.64438133995,55000.0,2143861.792466224,1166.1016949152543,0.0,1052.406779661017,2218.5084745762715,2204307715.719057,319598.6813169018,2203988117.03774,953746095.2671462,True,direct_cheaper_than_mining,-2203988117.03774,-1250242021.7705941,6.073945173377882
610068,       (2010 NR13),2010 NR13,N,3.754095262177189,0.1756806458719696,20.94930727463854,2.18942,4.429,23111634836490.293,2311163483649.0293,0.9999,C,0.9999,60501661875629.04,7.869927456073188,311450.1015091377,55000.0,1832369.29169286,676.271186440678,0.0,805.0169491525423,1481.2881355932204,1892750424.505532,311418.9564989868,1892439005.549033,933029001.7149512,True,direct_cheaper_than_mining,-1892439005.549033,-959410003.8340818,4.0555458880033415
111433,111434 (2001 XQ215),111434,N,3.217089658901349,0.2150557933908937,6.925837168579517,1.52783,5.333,40348591350361.04,4034859135036.104,0.9999,C,0.9999,105624584686809.0,7.587281389838177,344394.32093696366,55000.0,1027254.6854025124,733.8983050847457,693.3559322033898,619.4745762711864,2046.728813559322,1087468354.3770764,344359.88150486996,1087123994.4955716,1016459708.76613,True,direct_cheaper_than_mining,-1087123994.4955716,-70664285.72944164,5.603638093249342
