dataset_index,full_name,pdes,neo,a,e,i,q,om,w,moid,diameter,E_M_useful_kg,sigma_M_kg,value_usd,comp_class,value_per_kg,total_mass_kg,dv_out_kms,cargo_LLO_kg,dry_mass_kg,prop_mass_kg,tof_out_days,loiter_days,tof_ret_days,mission_time_days,mission_cost_usd,revenue_LLO_usd,net_cost_usd,direct_cost_usd,feasible,verdict,profit_usd,direct_minus_mining_usd,total_time_years
241824,241825 (2001 SH170),241825,N,3.068933971250112,0.1116663391934505,22.49897090922571,2.726237349454194,184.153659649981,200.028228909428,1.73403,5.336,40416722165656.13,4041672216565.614,0.9999,C,0.9999,105802937606429.66,7.714151270180348,333858.9237796091,55000.0,1410510.038735198,503.3898305084746,1981.0169491525423,805.0169491525423,3289.423728813559,1470803424.8232548,333825.53788723116,1470469599.2853675,989778984.5246973,True,direct_cheaper_than_mining,-1470469599.2853675,-480690614.7606702,9.005951345143215
328424,328425 (2008 SZ278),328425,N,3.574358362899889,0.0309471373769842,10.96614824196108,3.463742203608654,66.04444745972974,196.6460007442583,2.44978,5.827,52631855429492.54,5263185542949.254,0.9999,C,0.9999,137779726255216.08,7.889763873091736,341837.2242737818,55000.0,1266319.7948011316,561.0169491525423,1287.6610169491526,495.77966101694915,2344.4576271186443,1326583189.3184502,341803.04055135447,1326241386.2778988,1009983902.4998786,True,direct_cheaper_than_mining,-1326241386.2778988,-316257483.77802014,6.418775159804639
12125, 12126 (1999 RM11),12126,N,5.224013347260517,0.209074088443129,2.044509467416421,4.131807518667285,350.9990809946745,304.0190895373798,3.11569,53.202,4.005876008757359e+16,4005876008757359.0,0.9999,C,0.9999,1.0486586410359579e+17,9.258027104458057,330852.0727478255,55000.0,1671288.628617842,1108.4745762711864,99.05084745762711,619.4745762711864,1826.9999999999998,1731636256.6525946,330818.98754055076,1731305437.665054,982164182.5370874,True,direct_cheaper_than_mining,-1731305437.665054,-749141255.1279666,5.002053388090348
6573,  6574 Gvishiani (1976 QE1),6574,N,3.401929666641808,0.1928097224594874,17.6996820853328,2.746004551789905,349.3213541850107,240.8883755607716,1.78944,25.393,4355676974939742.5,435567697493974.25,0.9999,C,0.9999,1.1402295745915556e+16,10.02969320637355,333686.7356902602,55000.0,2143707.193781276,474.5762711864407,0.0,557.6271186440678,1032.2033898305085,2204153084.877582,333653.3670166912,2203819431.5105653,989342920.9514916,True,direct_cheaper_than_mining,-2203819431.5105653,-1214476510.5590737,2.826018863327881
3395,  3396 Muazzez (A915 TE),3396,N,3.392846085149702,0.1825359597639327,8.341604432575798,2.773529668665599,38.07334538847263,315.8273627043819,1.77614,32.519,9147979280120836.0,914797928012083.6,0.9999,C,0.9999,2.394758973853622e+16,8.142839055207387,352545.0662098588,55000.0,1014081.714407283,733.8983050847457,2278.169491525424,619.4745762711864,3631.5423728813557,1074292643.4038796,352509.8117032378,1073940133.5921764,1037101340.3762366,True,direct_cheaper_than_mining,-1073940133.5921764,-36838793.21593988,9.9426211440968
614452,       (2010 TD7),2010 TD7,N,3.068564434581811,0.3330088079878132,2.48131480623932,2.046705449987924,53.39017859932066,316.473223039707,1.0465,1.723,1360722163128.9473,136072216312.89471,0.9999,C,0.9999,3562099903478.9194,5.6850081069571745,362521.38495007495,55000.0,797966.0613340981,272.8813559322034,1040.0338983050847,619.4745762711864,1932.3898305084745,858132038.2748556,362485.13281157997,857769553.1420441,1062366207.4976939,True,mining_cheaper_than_direct,-857769553.1420441,204596654.35564983,5.290595018503694
77890, 77891 (2001 SM232),77891,N,5.160406408061992,0.1616175362483201,14.23486215006547,4.32639423835097,32.01283408621104,28.35567856181972,3.34602,16.447,1183514827931005.0,118351482793100.5,0.9999,C,0.9999,3098206355840327.5,8.580901834397785,336339.96972972905,55000.0,2520595.0404007225,647.457627118644,1931.4915254237287,1237.9491525423728,3816.8983050847455,2581119324.169126,336306.33573275607,2580783017.833393,996062193.5804912,True,direct_cheaper_than_mining,-2580783017.833393,-1584720824.252902,10.450098028979454
193448,193449 (2000 WW146),193449,N,3.971741443180048,0.3443908294918612,13.68586798853919,2.603910113036069,96.63988693722116,321.4134583423215,1.6327,9.115,201457595056753.53,20145759505675.355,0.9999,C,0.9999,527375903289930.7,8.579697132306746,340616.69775318395,55000.0,1081146.5972979595,1166.1016949152543,99.05084745762711,557.6271186440678,1822.779661016949,1141371475.7901976,340582.6360834086,1141030893.1541142,1006892938.6720277,True,direct_cheaper_than_mining,-1141030893.1541142,-134137954.48208654,4.9904987296836385
64269, 64270 (2001 TA197),64270,N,5.173966776744678,0.0924864627954837,12.89179344063134,4.695444890942213,134.7449445320295,199.6072572818364,3.68709,16.468,1188054055562200.5,118805405556220.06,0.9999,C,0.9999,3110089150686388.5,9.207879639319547,325937.09035058727,55000.0,2274712.6496252073,733.8983050847457,0.0,681.3220338983051,1415.2203389830509,2335185789.8563294,325904.4966415522,2334859885.359688,969717068.485894,True,direct_cheaper_than_mining,-2334859885.359688,-1365142816.8737938,3.874662119050105
219957,219958 (2002 JG16),219958,N,5.089395264508856,0.052652742301266,16.32914326906134,4.821424647177388,38.37008417517415,183.183127503044,3.8136,16.555,1206983078436725.8,120698307843672.58,0.9999,C,0.9999,3159641566588287.0,9.18547025535263,326335.5161241942,55000.0,2115768.1735929926,733.8983050847457,2179.1186440677966,1299.7966101694915,4212.813559322034,2176208253.3731003,326302.88257258176,2175881950.4905276,970726075.364089,True,direct_cheaper_than_mining,-2175881950.4905276,-1205155875.1264386,11.53405491943062
